0	简体中文
1	警察
2	医生
3	你哪里也不能去
4	不营业
5	股市周末休市。
6	银行周末不营业。
7	我们准备为你提供贷款#{global.summa}，利率为 <bankpro>%#将每月从你账户中扣除所需金额。
8	银行
9	幸福
10	舒适
11	压力
12	个人开支
13	治疗费用
14	昨日花费～
15	你被拘留了
16	国家提供
17	游戏结束
18	你的房产：
19	租房（每天 1 万日元）
20	你的车辆：
21	财产：
22	收入：
23	支出：
24	利润：
25	所得税
26	债务：
27	主页
28	走势图
29	交易所
30	股市
31	设施
32	顾问
33	房产
34	车辆
35	卖房后
36	卖车后
37	出售
38	购买
39	你想以此价格出售你的车吗？
40	你想购买这辆车吗？
41	你的余额不足。
42	你想以此价格出售你的房产吗？
43	你想购买这个吗？
44	没有车辆
45	二手轻型车
46	轻型车
47	二手小型车
48	小型车
49	中型车
50	商务车
51	高级车
52	没有房产
53	单间公寓 1R——小型单间公寓
54	单间公寓 1K——带公共厨房
55	单间公寓 1D——带独立厨房
56	公寓 1DK——带大厨房
57	公寓 1LDK——一室一厅
58	公寓 2LDK——两室一厅
59	公寓 3LDK——三室一厅
60	住宅 3LDK——独栋三室一厅
61	住宅 4LDK——两层四室一厅
62	豪宅 5LDK——乡间大豪宅
63	恭喜你，你的健康状况良好！
64	破产
65	银行拍卖了你的车辆 <car_name>，你获得了 {prpr}。
66	银行拍卖了你的房产 <name_house>，你获得了 {prpr}。
67	你不得不卖掉 <pepe2> 等所有公司的股票以换取 {iz} 来偿还债务。
68	你无法还清债务。游戏结束。
69	你自由了。欢迎重获自由！
70	你在外面过了一夜，染上了肺炎。立即去医院！
71	朋友
72	嗨，谢谢你借钱给我！我会多还 <momomo>% 给你！
73	电话响了，你要接吗？
74	极道
75	你不能就这样金蝉脱壳。很遗憾，我们不再需要你了。再见。
76	新闻
77	著名企业家 <global.myname> 被发现死于家中。据信，他参与了毒品生意，并为此付出了代价.
78	实不相瞒，我是来杀你的。但我今天心情不错，所以给你一个机会，让你能花钱消灾。#只要——{global.vykup}。#你同意吗？
79	法庭
80	今天对你的案件进行了审判。你被判无罪。作为受害者，你只需支付小额罚款——{shtraff}。
81	今天对你的案件进行了审判。你被判有罪，并处罚款——{shtraff}。
82	今天对你的案件进行了审判。你被判为主犯。你的所有财产将被没收，并将在两年内开始服刑。
83	新年快乐！
84	圣诞快乐！
85	神秘公司 <compppp> 损失惨重。接下来会发生什么？
86	神秘公司 <compppp> 已宣布破产。我们对所有股东深表同情。
87	丑闻
88	<scandal> 的奇怪传言导致股价急剧变化。
89	月度报告
90	纳税：
91	还债：
92	喜报！
93	总计：
94	股息报告
95	你有严重的健康问题！我们会把你送进医院，直到你完全康复。
96	你最近压力太大。如果你继续生活在压力之下，将不可避免地导致健康问题。
97	我们发现你的账户有可疑交易。经审查，已确认所收资金的非法来源。##惩罚——
98	政府决定改变所得税税率。现在为 <nalogtext>%。
99	你因在错误的地方停车而被罚款——{shtraf}。
100	坏消息
101	你的钱包被偷了。还好没那么多钱——{shtraf}。
102	电话
103	我们愿意以折扣价向你提供我们的股份。我们希望不要大张旗鼓，以免引起投资者的恐慌。#我们以 {cena2} 的价格向你提供 <colich> 股票（证券交易所价格：{cena1}）。#你准备好签署所有必要文件了吗？
104	妈妈
105	如果问题能解决，就不必担心；如果不能解决，担心也没用。
106	一位邻居打电话来，让你晚上不要大声敲击键盘。
107	匿名电话
108	匿名调查
109	为什么鞋分左右，袜子却不分？
110	音乐会
111	你在最喜欢的流行歌手的演唱会上度过了一段美好时光。
112	哇！
113	你中奖了！
114	信件
115	你的远房亲戚去世了。根据他的遗嘱，你将获得 {shtraf}。
116	我们遗憾地通知你，你的叔叔去世了。他为你留下了 {shtraf}。
117	我们遗憾地通知你，你的曾祖父去世了。根据他的遗嘱，你将获得 {shtraf}。
118	我们遗憾地通知你，你的曾祖母去世了。根据她的遗嘱，你将获得 {shtraf}。
119	我在还旧债！##Kazuhara.  {shtraf}
120	根据一项全国调查，<cats>被评为最可爱的动物！
121	猫猫
122	狗狗
123	鹦鹉
124	大熊猫
125	考拉
126	小狐狸
127	海豹
128	羊驼
129	寺庙
130	你在寺庙里祈祷，心平气和。
131	邮差
132	你收到了订购游戏机的发票——
133	管道工
134	看来你这里漏水了。修理费用为 {shtraf}。
135	更新
136	为了让你的电脑正常工作，你需要新的硬件。这将花费 {shtraf}。
137	惊喜
138	你在地上捡到了一张 {shtraf} 的钞票。
139	问题
140	看来你的电脑坏了。修理费用为 {shtraf}。
141	周末
142	奇迹
143	<companynm> 公司发布的产品大获成功，并获得了丰厚利润。公司股票在股市上大幅上涨。
144	<companynm> 的部分董事想出了一个巧妙的计划来欺骗董事会。他们以较低的价格发行了新股，并降低了所有股东的持股比例。
145	重大新闻!
146	<companynm> 公司的一位大股东决定卖出他的股票，使得股价下跌。
147	你因在 <companname> 协助与教唆贩毒而被捕。
148	警方清查了一家违法公司 <companname>。警方正在调查涉嫌违法的股东。
149	下午好。我们正在调查一个贩毒集团。我们掌握了很多不利于 <companname> 公司的证据，而你是这家公司的合伙人。你会收到传票的。回见。##也许你该给他们点贿赂？
150	你没有足够的钱，所以不得不举债。请记住，随着时间的推移，债务只会越来越多，所以要尽快还清或贷款。如果你不偿还债务，你的财产将被拍卖。
151	很抱歉，你已有一笔贷款未偿还。
152	义郎
153	嘿，我是义郎！我听说有家公司要升值了，也就是说它的股票要更贵了。我可以以 {global.v} 的价格把这个消息卖给你。成交吗？
154	嗨，我是义郎！我听说你有资金问题。要帮忙吗？
155	打错了。
